word,meaning,level
憂慮,心配して気にかけること,1
端緒,物事の始まりやきっかけ,1
恣意,自分勝手な考えや判断,1
形骸化,中身が失われて形だけ残ること,1
懐疑,疑いを持つこと,1
帰結,結果として導かれること,1
前提,議論の出発点となる条件,1
帰納,個別の事例から一般原理を導くこと,1
演繹,一般原理から結論を導くこと,1
乖離,互いに離れてしまうこと,1
包摂,あるものを内に含み込むこと,1
相対化,絶対視されていたものを相対的に見ること,1
内面化,外にある価値や規範を自分の内に取り込むこと,1
正当化,自分の行為を正しいと説明すること,1
規範,行動の基準となるもの,1
主体,自ら考え行動する存在,1
他者,自分とは異なる存在,1
公共性,社会全体に関わる性質,1
自律,自分で自分を律すること,1
是正,悪い点を直して正すこと,1
検証,正しいかどうか調べて確かめること,1
逸脱,基準や常識から外れること,1
看過,見逃してそのままにすること,1
懐柔,うまくなだめて従わせること,1
斟酌,事情をくみ取って考慮すること,1
齟齬,食い違い,1
帰趨,最終的にどうなるかという成り行き,1
僭越,身分や立場を越えて出過ぎたことをすること,1
合理,理にかなっていること,1
普遍,すべてに広く当てはまること,1
特殊,限られた場合だけに当てはまること,1
抽象,具体性を離れて本質だけを取り出すこと,1
具体,実際に形や内容がはっきりしていること,1
分析,要素に分けて調べること,1
統合,複数のものを一つにまとめること,1
解釈,意味を読み取って理解すること,1
認識,物事を知り理解すること,1
論理,筋道立った考え方,1
構造,要素同士の組み立てや関係,1
体系,整ったまとまりを持つ仕組み,1
因果,原因と結果の関係,1
評価,価値を判断すること,1
判断,正しいかどうかを決めること,1
認知,知覚して理解すること,1
意識,自分で気づいている状態,1
無意識,意識されない心の働き,1
知覚,感覚を通して物事をとらえること,1
経験,実際に体験すること,1
実践,学んだことを実際に行うこと,1
行為,人が行う行動,1
態度,物事に対する構え,1
価値,大切さや意味,1
倫理,人として守るべき道,1
責任,自分が引き受ける義務,1
自由,束縛されずに選べること,1
平等,差別なく等しいこと,1
権利,認められた自由や利益,1
義務,果たさなければならないこと,1
文化,人間の生活の中で生み出された営み,1
伝統,受け継がれてきた文化や習慣,1
制度,社会を成り立たせる仕組みや決まり,1
組織,目的のために集まった人々のまとまり,1
国家,政治的にまとまった共同体,1
経済,財やサービスの生産交換消費の活動,1
市場,売買が行われる場,1
資本,生産活動に用いられる資金や設備,1
労働,働いて価値を生み出すこと,1
生産,物やサービスを作り出すこと,1
消費,物やサービスを使うこと,1
流通,商品が作り手から使い手へ移ること,1
分配,利益や資源を配ること,1
競争,互いに優劣を争うこと,1
協力,力を合わせて行うこと,1
支配,他を従わせて動かすこと,1
抵抗,反対して立ち向かうこと,1
革命,社会や政治の急激な変化,1
改革,制度や仕組みを改めること,1
維持,そのまま保ち続けること,1
発展,より進んだ状態に進むこと,1
進化,長い時間の中で変化していくこと,1
変容,姿や性質が変わること,1
生成,新しいものが生まれること,1
形成,形作られること,1
展開,広がりながら進むこと,1
拡張,広がること,1
縮小,小さくなること,1
集中,一か所に集まること,1
分散,散らばること,1
均衡,つり合いが取れていること,1
対立,意見や立場がぶつかること,1
調和,うまくつり合い合うこと,1
融合,異なるものが溶け合って一つになること,1
統制,一定の方針のもとにコントロールすること,1
管理,まとめて扱い整えること,1
運営,組織や物事を動かすこと,1
計画,前もって考えて決めること,1
戦略,目標達成のための大きな方針,1
戦術,具体的なやり方,1
実現,現実のものとすること,1
達成,目標を成し遂げること,1
失敗,目的が果たせないこと,1
成功,目的をうまく果たすこと,1
可能性,実現する見込み,1
必然,必ずそうなること,1
偶然,たまたま起こること,1
妥当,適切で無理がないこと,1
顕在化,はっきり表に現れること,1
潜在,表には現れていないが内にあること,1
顕著,際立って目立つこと,1
漸進,少しずつ進むこと,1
急進,急激に進めること,1
包括,広く全体を含むこと,1
排除,取り除いて外に出すこと,1
依拠,よりどころとすること,1
根拠,よりどころとなる理由,1
妥協,互いに譲り合って折り合うこと,1
介入,他の領域に立ち入って関わること,1
媒介,間に入ってつなぐこと,1
脈絡,前後のつながり,1
文脈,言葉や出来事の前後関係,1
契機,変化を引き起こすきっかけ,1
顛末,物事の始まりから終わりまでの事情,1
要請,強く求めること,1
要因,ある結果を引き起こす原因,1
要旨,大事な内容のまとめ,1
概念,物事をまとめてとらえる考え,1
観念,心の中で思い描く考え,1
理念,理想として思い描く根本的な考え,1
実態,実際のありさま,1
実情,実際の事情,1
実証,事実によって確かめること,1
仮説,まだ証明されていない説明,1
検討,よく調べて考えること,1
考察,よく考えて明らかにすること,1
論証,筋道を立てて証明すること,1
推論,手がかりから考えて結論を出すこと,1
推測,はっきりしないことを考えてみること,1
帰着,最終的にある結果に落ち着くこと,1
転換,方向や考えが変わること,1
逆説,一見矛盾するが真理を含む表現,1
矛盾,つじつまが合わないこと,1
整合,全体がうまく合っていること,1
整序,順序を整えること,1
再編,組み直すこと,1
再構築,作り直して組み立てること,1
再評価,もう一度価値を見直すこと,1
再定義,新しく定義し直すこと,1
再考,改めて考えること,1
包括的,全体を広く含んでいるさま,1
限定的,範囲が限られているさま,1
暫定,ひとまず仮に決めること,1
恒常,いつも変わらないこと,1
一過性,一時的で長続きしないこと,1
可逆,元に戻せること,1
不可逆,元に戻せないこと,1
多義的,意味が複数に解釈できるさま,1
単一,一つだけであること,1
複合,いくつかが組み合わさること,1
一元的,一つの原理で説明しようとするさま,1
多元的,複数の原理や価値を認めるさま,1
中立,どちらにも偏らないこと,1
偏向,一方にかたよること,1
偏見,かたよった見方,1
先入観,前もって持っている思い込み,1
固定観念,変えにくい決まった考え,1
通念,世間一般に広く認められている考え,1
慣習,長く続いてきたしきたり,1
風潮,その時代に広く見られる傾向,1
趨勢,物事が進んでいく大きな流れ,1
潮流,時代の大きな流れ,1
機運,何かをしようとする気分の高まり,1
情勢,その時々の事情や様子,1
所産,ある原因や過程から生まれたもの,1
産物,あるものから生み出された結果,1
副産物,目的以外に生じた結果,1
効率,少ない労力で大きな効果を得る度合い,1
効果,よい結果,1
影響,他に及ぼす働き,1
波及,影響が広く及ぶこと,1
浸透,内部まで広くしみ込むこと,1
定着,しっかり根づくこと,1
普及,広く行き渡ること,1
啓発,理解を深めるよう教え導くこと,1
啓蒙,知識を授けて人々を開明すること,1
受容,受け入れること,1
拒絶,受け入れずしりぞけること,1
容認,よいとは思わないが認めること,1
承認,認めること,1
承継,受け継ぐこと,1
継承,あとを受け継ぐこと,1
継続,続けること,1
断絶,つながりが断たれること,1
保守,今の状態を守ろうとすること,1
革新,新しく改めること,1
刷新,古いものを改めて新しくすること,1
皮肉,遠回しに相手を批判すること,1
刷新力,新しく変える力,1
画一,みな同じようで変化がないこと,1
多様,さまざまであること,1
均質,性質がどれも同じであること,1
異質,性質が大きく異なること,1
同質,性質が似ていること,1
固有,そのものだけに特有であること,1
普及率,広がりの割合,1
比率,全体に対する割合,1
比重,その物事が占める重要さ,1
尺度,物事を測る基準,1
指標,判断の目安となるもの,1
基準,判断や比較のもとになるもの,1
目安,だいたいの基準,1
論点,議論で問題になる点,1
争点,争いの中心となる点,1
焦点,注目が集まる中心,1
主眼,特に重視する点,1
本質,そのものの根本的な性質,1
真髄,最も大事な核心,1
本旨,もとの意味やねらい,1
要点,大事な点,1
骨子,文章や計画の大筋,1
概略,大まかな内容,1
概要,全体の大まかな様子,1
全容,全体のありさま,1
輪郭,大体の姿,1
布置,物や人を配置すること,1
配置,置き方,1
区分,いくつかに分けること,1
分類,種類ごとに分けること,1
類型,似たものをまとめた型,1
範疇,同じ性質のものをくくる大きな分類,1
範例,手本となる例,1
典型,その特徴をよく示す例,1
事例,具体的な例,1
事象,実際に起こる出来事,1
現象,目に見える形で現れたもの,1
実例,実際の例,1
実証的,事実やデータに基づくさま,1
経験的,経験に基づくさま,1
観察,よく見て調べること,1
検査,調べて異常がないか確かめること,1
測定,数や大きさをはかること,1
比較,違いや共通点を見ること,1
対照,並べて違いを明らかにすること,1
対比,互いに比べて違いを際立たせること,1
照応,互いに対応してつながること,1
符合,ぴったり合うこと,1
符合点,一致する点,1
合致,ぴったり一致すること,1
妥当性,適切である度合い,1
信頼性,信用できる度合い,1
客観,主観を離れて物事そのものを見ること,1
主観,自分の感じ方や考えに基づく見方,1
客体,認識や行為の対象となるもの,1
主体性,自ら考えて動く性質,1
自己言及,自分自身について述べること,1
反省,自分を振り返ること,1
省察,深く考えて反省すること,1
省略,一部を略して省くこと,1
明示,はっきり示すこと,1
暗示,はっきり言わずにそれとなく示すこと,1
示唆,それとなく教え示すこと,1
含意,言外に含まれている意味,1
暗黙,言葉にしないこと,1
黙示,言葉にせずに示すこと,1
明証,はっきり証明されていること,1
整備,使いやすいように整えること,1
整備不全,十分に整っていない状態,1
脆弱,もろくて弱いこと,1
強靱,強くしなやかなこと,1
堅牢,丈夫でしっかりしていること,1
柔軟,やわらかく対応できること,1
弾力,状況に応じて伸び縮みできる性質,1
硬直,かたくなって動きがとれないこと,1
流動,一定せず動いて変わること,1
停滞,物事が進まずとどこおること,1
停頓,中断して進まないこと,1
促進,進みを早めること,1
抑制,おさえて強く出ないようにすること,1
阻害,邪魔して進めなくすること,1
増幅,より大きく広げること,1
縮減,小さく減らすこと,1
軽減,軽く減らすこと,1
削減,削って減らすこと,1
補完,足りない部分を補って完全にすること,1
代替,代わりにすること,1
補填,不足を埋めること,1
